Data;Atsak_;IP adresas;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas aikšt_je priešais Filharmonij_?;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas K. Sirvydo skvere?
26/09/15 21:40;---;78.60.183.209;Pritariu;Nepritariu
26/09/15 21:37;---;213.159.44.2;Nepritariu;Pritariu
26/09/15 21:33;---;213.164.113.12;Pritariu;Neturiu nuomon_s
26/09/15 21:32;---;88.119.245.69;Pritariu;Nepritariu
26/09/15 21:24;---;78.56.38.88;Neturiu nuomon_s;Pritariu
26/09/15 20:31;---;78.157.89.85;Pritariu;Nepritariu
26/09/15 20:29;---;88.119.29.9;Nepritariu;Pritariu
26/09/15 20:28;---;5.20.201.118;Pritariu;Nepritariu
26/09/15 20:14;---;78.56.169.57;Pritariu;Nepritariu
26/09/15 20:12;---;78.56.233.238;Pritariu;Pritariu
26/09/15 20:01;---;78.60.54.149;Nepritariu;Pritariu
26/09/15 19:54;---;213.197.143.238;Neturiu nuomon_s;Nepritariu
26/09/15 19:48;---;212.122.76.171;Nepritariu;Pritariu
26/09/15 19:43;---;78.56.133.142;Pritariu;Nepritariu
26/09/15 19:39;---;188.69.195.200;Pritariu;Pritariu
26/09/15 19:28;---;78.56.144.118;Nepritariu;Pritariu
26/09/15 19:27;---;78.56.140.161;Pritariu;Nepritariu
26/09/15 19:12;---;86.38.3.155;Nepritariu;Nepritariu
26/09/15 19:05;---;78.157.81.5;Pritariu;Neturiu nuomon_s
26/09/15 19:02;---;79.133.239.10;Pritariu;Nepritariu
26/09/15 18:47;---;84.240.57.119;Pritariu;Pritariu
26/09/15 18:44;---;78.60.0.65;Pritariu;Nepritariu
26/09/15 18:38;---;84.15.186.221;Nepritariu;Pritariu
26/09/15 18:37;---;78.60.250.203;Pritariu;Nepritariu
26/09/15 18:30;---;84.240.43.32;Pritariu;Nepritariu
26/09/15 18:20;---;5.20.173.11;Pritariu;Pritariu
26/09/15 17:45;---;78.60.185.237;Pritariu;Nepritariu
26/09/15 17:34;---;213.164.120.250;Nepritariu;Pritariu
26/09/15 17:33;---;78.56.179.229;Pritariu;Nepritariu
26/09/15 17:22;---;188.69.212.128;Nepritariu;Pritariu
26/09/15 17:14;---;78.60.89.140;Pritariu;Nepritariu
26/09/15 16:54;---;5.20.210.118;Pritariu;Nepritariu
26/09/15 16:44;---;78.56.127.181;Pritariu;Nepritariu
26/09/15 16:12;---;78.56.120.43;Pritariu;Nepritariu
26/09/15 15:51;---;78.60.44.6;Pritariu;Nepritariu
26/09/15 15:41;---;78.60.63.217;Nepritariu;Pritariu
26/09/15 15:26;---;84.15.181.106;Pritariu;Neturiu nuomon_s
26/09/15 15:15;---;78.56.10.151;Pritariu;Nepritariu
26/09/15 15:09;---;5.20.207.237;Pritariu;Neturiu nuomon_s
26/09/15 15:06;---;78.56.97.71;Pritariu;Pritariu
26/09/15 15:03;---;84.240.16.161;Neturiu nuomon_s;Pritariu
26/09/15 14:47;---;86.38.6.2;Pritariu;Pritariu
26/09/15 14:44;---;78.60.208.44;Nepritariu;Pritariu
26/09/15 14:32;---;78.60.216.167;Pritariu;Pritariu
26/09/15 14:28;---;78.60.181.178;Pritariu;Nepritariu
26/09/15 14:10;---;78.56.218.34;Pritariu;Nepritariu
26/09/15 13:45;---;85.206.128.8;Pritariu;Nepritariu
26/09/15 13:39;---;78.56.139.141;Pritariu;Nepritariu
26/09/15 13:25;---;78.60.54.85;Nepritariu;Pritariu
26/09/15 13:07;---;78.60.29.11;Nepritariu;Pritariu
26/09/15 13:04;---;158.129.67.40;Pritariu;Nepritariu
26/09/15 12:49;---;5.20.160.22;Pritariu;Pritariu
26/09/15 12:29;---;94.244.103.54;Pritariu;Pritariu
26/09/15 12:27;---;78.60.61.4;Pritariu;Nepritariu
26/09/15 12:27;---;78.56.48.128;Nepritariu;Pritariu
26/09/15 12:20;---;213.164.96.100;Nepritariu;Pritariu
26/09/15 12:19;---;78.56.166.96;Pritariu;Nepritariu
26/09/15 12:18;---;78.60.100.191;Pritariu;Neturiu nuomon_s
26/09/15 11:51;---;79.133.233.65;Pritariu;Neturiu nuomon_s
26/09/15 11:46;---;79.133.231.213;Pritariu;Nepritariu
26/09/15 11:40;---;86.38.9.11;Pritariu;Nepritariu
26/09/15 11:36;---;86.100.231.11;Neturiu nuomon_s;Neturiu nuomon_s
26/09/15 11:31;---;213.190.46.52;Pritariu;Nepritariu
26/09/15 11:13;---;78.60.12.134;Pritariu;Neturiu nuomon_s
26/09/15 11:11;---;88.119.17.156;Pritariu;Nepritariu
26/09/15 11:05;---;84.46.146.21;Pritariu;Nepritariu
26/09/15 10:46;---;78.56.40.11;Pritariu;Nepritariu
26/09/15 10:26;---;84.240.16.123;Pritariu;Neturiu nuomon_s
26/09/15 10:25;---;188.69.196.134;Pritariu;Neturiu nuomon_s
26/09/15 10:19;---;5.20.132.198;Pritariu;Nepritariu
26/09/15 10:18;---;89.254.142.90;Pritariu;Neturiu nuomon_s
26/09/15 10:16;---;84.15.184.105;Pritariu;Neturiu nuomon_s
26/09/15 10:14;---;88.223.16.13;Pritariu;Neturiu nuomon_s
26/09/15 10:11;---;5.20.206.51;Pritariu;Nepritariu
26/09/15 10:06;---;84.240.46.183;Nepritariu;Pritariu
26/09/15 10:06;---;78.56.51.93;Pritariu;Pritariu
26/09/15 10:03;---;84.15.184.2;Pritariu;Nepritariu
26/09/15 09:47;---;78.60.41.61;Pritariu;Nepritariu
26/09/15 09:47;---;78.56.121.126;Pritariu;Nepritariu
26/09/15 09:43;---;78.56.29.0;Pritariu;Pritariu
26/09/15 09:39;---;5.20.140.145;Pritariu;Neturiu nuomon_s
